"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2019","0.035075","0.034785","0.035735","0.034785","15.45K","0.83%"
"Mar 15, 2019","0.034785","0.034150","0.035020","0.034134","6.07K","1.86%"
"Mar 14, 2019","0.034150","0.034060","0.034500","0.033876","6.55K","0.26%"
"Mar 13, 2019","0.034060","0.034413","0.034435","0.033982","3.92K","-1.03%"
"Mar 12, 2019","0.034413","0.034242","0.034800","0.033680","9.06K","0.50%"
"Mar 11, 2019","0.034242","0.034570","0.034668","0.034090","5.09K","-0.95%"
"Mar 10, 2019","0.034570","0.034804","0.034925","0.034371","3.26K","-0.67%"
"Mar 09, 2019","0.034804","0.034516","0.035347","0.034420","5.93K","0.83%"
"Mar 08, 2019","0.034516","0.035300","0.035420","0.034247","6.49K","-2.22%"
"Mar 07, 2019","0.035300","0.035585","0.035850","0.035212","3.53K","-0.80%"
"Mar 06, 2019","0.035585","0.035430","0.036060","0.034556","14.59K","0.44%"
"Mar 05, 2019","0.035430","0.033823","0.035530","0.033744","8.44K","4.75%"
"Mar 04, 2019","0.033823","0.034303","0.034303","0.033397","7.59K","-1.40%"
"Mar 03, 2019","0.034303","0.034665","0.035148","0.033867","5.07K","-1.05%"
"Mar 02, 2019","0.034665","0.035335","0.035503","0.034354","6.08K","-1.90%"
"Mar 01, 2019","0.035335","0.035465","0.035791","0.035283","6.16K","-0.37%"
"Feb 28, 2019","0.035465","0.035337","0.035990","0.034940","11.09K","0.36%"
"Feb 27, 2019","0.035337","0.035789","0.036508","0.034000","9.21K","-1.26%"
"Feb 26, 2019","0.035789","0.036040","0.036094","0.035300","8.36K","-0.70%"
"Feb 25, 2019","0.036040","0.035326","0.036714","0.035222","9.99K","2.02%"
"Feb 24, 2019","0.035326","0.038325","0.039597","0.035213","39.83K","-7.83%"
"Feb 23, 2019","0.038325","0.037231","0.039100","0.037127","10.60K","2.94%"
"Feb 22, 2019","0.037231","0.037000","0.037375","0.036530","7.07K","0.61%"
"Feb 21, 2019","0.037005","0.037426","0.037467","0.036545","7.04K","-1.17%"
"Feb 20, 2019","0.037444","0.036700","0.037667","0.036011","16.23K","2.03%"
"Feb 19, 2019","0.036700","0.037390","0.037958","0.036690","8.60K","-1.85%"
"Feb 18, 2019","0.037390","0.036495","0.038285","0.036278","39.48K","2.45%"
"Feb 17, 2019","0.036495","0.033910","0.036908","0.033865","22.96K","7.62%"
"Feb 16, 2019","0.033910","0.033790","0.034200","0.033727","2.76K","0.36%"
"Feb 15, 2019","0.033790","0.033576","0.034091","0.033510","3.23K","0.64%"
"Feb 14, 2019","0.033576","0.033795","0.034325","0.033440","6.19K","-0.65%"
"Feb 13, 2019","0.033795","0.033667","0.034451","0.033585","7.96K","0.38%"
"Feb 12, 2019","0.033667","0.033295","0.033805","0.032986","10.20K","1.12%"
"Feb 11, 2019","0.033295","0.033989","0.034016","0.033020","12.49K","-1.96%"
"Feb 10, 2019","0.033960","0.032558","0.034148","0.032050","14.51K","4.31%"
"Feb 09, 2019","0.032558","0.032611","0.032957","0.032323","14.17K","-0.14%"
"Feb 08, 2019","0.032605","0.030735","0.032999","0.030605","23.27K","6.08%"
"Feb 07, 2019","0.030735","0.030670","0.031005","0.030640","5.94K","0.21%"
"Feb 06, 2019","0.030670","0.030910","0.031004","0.029856","18.63K","-0.78%"
"Feb 05, 2019","0.030910","0.031095","0.031140","0.030838","3.54K","-0.59%"
"Feb 04, 2019","0.031095","0.031020","0.031380","0.030749","9.71K","0.24%"
"Feb 03, 2019","0.031020","0.031535","0.031657","0.030879","6.23K","-1.63%"
"Feb 02, 2019","0.031535","0.030847","0.031600","0.030770","2.94K","2.23%"
"Feb 01, 2019","0.030847","0.030995","0.031100","0.030470","5.90K","-0.48%"
"Jan 31, 2019","0.030995","0.031300","0.031695","0.030800","7.43K","-0.97%"
"Jan 30, 2019","0.031300","0.030645","0.031591","0.030440","7.59K","2.14%"
"Jan 29, 2019","0.030645","0.030705","0.031000","0.030181","7.88K","-0.20%"
"Jan 28, 2019","0.030705","0.031518","0.031727","0.029840","21.37K","-2.58%"
