"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2019","0.015197","0.014910","0.015700","0.014871","32.64K","1.93%"
"Mar 15, 2019","0.014910","0.014425","0.015000","0.014425","23.36K","3.36%"
"Mar 14, 2019","0.014425","0.014281","0.014751","0.014005","27.19K","1.01%"
"Mar 13, 2019","0.014281","0.014577","0.014583","0.014152","16.47K","-1.76%"
"Mar 12, 2019","0.014536","0.014175","0.014649","0.013700","17.61K","2.55%"
"Mar 11, 2019","0.014175","0.014470","0.014590","0.013952","13.22K","-2.04%"
"Mar 10, 2019","0.014470","0.014660","0.014712","0.014336","8.36K","-1.30%"
"Mar 09, 2019","0.014660","0.014389","0.015124","0.014363","20.57K","1.88%"
"Mar 08, 2019","0.014389","0.014655","0.014750","0.014164","19.41K","-1.81%"
"Mar 07, 2019","0.014655","0.014350","0.015155","0.013986","40.33K","2.06%"
"Mar 06, 2019","0.014359","0.013578","0.014558","0.013426","33.98K","5.76%"
"Mar 05, 2019","0.013578","0.012329","0.014196","0.012240","49.84K","10.13%"
"Mar 04, 2019","0.012329","0.012565","0.012596","0.012133","8.41K","-1.88%"
"Mar 03, 2019","0.012565","0.012663","0.012780","0.012462","6.21K","-0.78%"
"Mar 02, 2019","0.012663","0.012305","0.012875","0.012305","12.95K","2.91%"
"Mar 01, 2019","0.012305","0.011969","0.012620","0.011887","16.75K","2.71%"
"Feb 28, 2019","0.011980","0.011845","0.012070","0.011802","11.16K","1.14%"
"Feb 27, 2019","0.011845","0.011756","0.011890","0.011554","7.76K","0.76%"
"Feb 26, 2019","0.011756","0.011865","0.011950","0.011610","23.10K","-0.92%"
"Feb 25, 2019","0.011865","0.011674","0.012175","0.011580","17.55K","1.64%"
"Feb 24, 2019","0.011674","0.012485","0.012747","0.011400","58.44K","-6.50%"
"Feb 23, 2019","0.012485","0.012400","0.012710","0.012178","17.77K","0.69%"
"Feb 22, 2019","0.012400","0.012406","0.012557","0.012260","13.63K","-0.05%"
"Feb 21, 2019","0.012406","0.012969","0.012970","0.012233","27.31K","-4.34%"
"Feb 20, 2019","0.012969","0.012075","0.013115","0.011973","43.96K","7.40%"
"Feb 19, 2019","0.012075","0.012263","0.012440","0.012005","12.73K","-1.53%"
"Feb 18, 2019","0.012263","0.011990","0.012569","0.011799","25.75K","2.28%"
"Feb 17, 2019","0.011990","0.011986","0.012174","0.011840","14.76K","0.04%"
"Feb 16, 2019","0.011986","0.011805","0.012180","0.011711","22.59K","1.53%"
"Feb 15, 2019","0.011805","0.011483","0.012173","0.011483","22.01K","2.81%"
"Feb 14, 2019","0.011483","0.011530","0.011700","0.011315","18.11K","-0.41%"
"Feb 13, 2019","0.011530","0.012103","0.012230","0.011300","28.39K","-4.72%"
"Feb 12, 2019","0.012101","0.011810","0.012244","0.011684","33.44K","2.47%"
"Feb 11, 2019","0.011810","0.012725","0.012745","0.011546","34.30K","-7.19%"
"Feb 10, 2019","0.012725","0.012210","0.013000","0.011677","67.16K","4.22%"
"Feb 09, 2019","0.012210","0.011754","0.012651","0.011575","68.31K","3.81%"
"Feb 08, 2019","0.011762","0.009770","0.012004","0.009710","98.38K","20.38%"
"Feb 07, 2019","0.009770","0.009625","0.009812","0.009625","6.83K","1.51%"
"Feb 06, 2019","0.009625","0.009894","0.009910","0.009520","15.79K","-2.72%"
"Feb 05, 2019","0.009894","0.009844","0.009935","0.009761","16.93K","0.51%"
"Feb 04, 2019","0.009844","0.009672","0.009930","0.009660","11.05K","1.78%"
"Feb 03, 2019","0.009672","0.009865","0.009946","0.009605","16.04K","-1.96%"
"Feb 02, 2019","0.009865","0.009419","0.009955","0.009410","15.60K","4.72%"
"Feb 01, 2019","0.009420","0.009132","0.009640","0.009032","23.31K","3.15%"
"Jan 31, 2019","0.009132","0.009166","0.009290","0.009072","8.25K","-0.37%"
"Jan 30, 2019","0.009166","0.009030","0.009200","0.008971","5.62K","1.50%"
"Jan 29, 2019","0.009030","0.009005","0.009125","0.008880","8.82K","0.28%"
"Jan 28, 2019","0.009005","0.009075","0.009126","0.008800","15.56K","-0.78%"
"Jan 27, 2019","0.009075","0.009210","0.009273","0.008996","15.88K","-1.46%"
"Jan 26, 2019","0.009210","0.009170","0.009341","0.009135","13.31K","0.43%"
"Jan 25, 2019","0.009170","0.009093","0.009200","0.009012","8.04K","0.85%"
"Jan 24, 2019","0.009093","0.008910","0.009222","0.008792","16.48K","2.05%"
