"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2019","0.002343","0.002350","0.002407","0.002342","10.73K","-0.31%"
"Mar 15, 2019","0.002350","0.002396","0.002399","0.002340","15.82K","-1.90%"
"Mar 14, 2019","0.002396","0.002301","0.002400","0.002263","24.56K","4.13%"
"Mar 13, 2019","0.002301","0.002272","0.002356","0.002257","19.13K","1.19%"
"Mar 12, 2019","0.002274","0.002244","0.002302","0.002200","20.36K","1.31%"
"Mar 11, 2019","0.002244","0.002235","0.002257","0.002201","12.23K","0.41%"
"Mar 10, 2019","0.002235","0.002277","0.002290","0.002224","8.44K","-1.84%"
"Mar 09, 2019","0.002277","0.002268","0.002316","0.002253","9.51K","0.26%"
"Mar 08, 2019","0.002271","0.002357","0.002363","0.002260","22.61K","-3.66%"
"Mar 07, 2019","0.002357","0.002256","0.002377","0.002224","27.48K","4.47%"
"Mar 06, 2019","0.002256","0.002270","0.002281","0.002232","17.67K","-0.59%"
"Mar 05, 2019","0.002270","0.002192","0.002287","0.002180","15.32K","3.52%"
"Mar 04, 2019","0.002192","0.002270","0.002270","0.002160","17.18K","-3.40%"
"Mar 03, 2019","0.002270","0.002280","0.002303","0.002251","9.23K","-0.46%"
"Mar 02, 2019","0.002280","0.002315","0.002383","0.002272","17.12K","-1.52%"
"Mar 01, 2019","0.002315","0.002307","0.002400","0.002253","8.73K","0.35%"
"Feb 28, 2019","0.002307","0.002326","0.002349","0.002283","2.11K","-0.81%"
"Feb 27, 2019","0.002326","0.002377","0.002397","0.002292","31.98K","-2.15%"
"Feb 26, 2019","0.002377","0.002410","0.002411","0.002337","11.79K","-1.34%"
"Feb 25, 2019","0.002409","0.002391","0.002457","0.002320","34.47K","1.23%"
"Feb 24, 2019","0.002380","0.002461","0.002590","0.002282","88.85K","-3.44%"
"Feb 23, 2019","0.002465","0.002190","0.002488","0.002157","33.60K","12.55%"
"Feb 22, 2019","0.002190","0.002172","0.002223","0.002172","7.21K","0.82%"
"Feb 21, 2019","0.002172","0.002300","0.002302","0.002160","23.05K","-5.58%"
"Feb 20, 2019","0.002300","0.002280","0.002318","0.002230","26.45K","0.91%"
"Feb 19, 2019","0.002280","0.002256","0.002333","0.002230","23.88K","1.06%"
"Feb 18, 2019","0.002256","0.002288","0.002302","0.002220","23.60K","-1.41%"
"Feb 17, 2019","0.002288","0.002191","0.002394","0.002179","25.57K","4.41%"
"Feb 16, 2019","0.002191","0.002242","0.002301","0.002165","8.98K","-2.25%"
"Feb 15, 2019","0.002242","0.002201","0.002321","0.002167","11.32K","1.83%"
"Feb 14, 2019","0.002201","0.002282","0.002282","0.002155","14.70K","-3.53%"
"Feb 13, 2019","0.002282","0.002254","0.002322","0.002247","13.91K","1.24%"
