"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2019","0.00002709","0.00002701","0.00002740","0.00002680","2.27M","0.30%"
"Mar 15, 2019","0.00002701","0.00002750","0.00002758","0.00002663","3.98M","-1.78%"
"Mar 14, 2019","0.00002750","0.00002825","0.00002911","0.00002726","19.49M","-2.65%"
"Mar 13, 2019","0.00002825","0.00002716","0.00002900","0.00002610","10.17M","4.09%"
"Mar 12, 2019","0.00002714","0.00002627","0.00002770","0.00002500","10.91M","3.31%"
"Mar 11, 2019","0.00002627","0.00002559","0.00002799","0.00002519","22.20M","2.66%"
"Mar 10, 2019","0.00002559","0.00002290","0.00002647","0.00002273","20.55M","11.75%"
"Mar 09, 2019","0.00002290","0.00002228","0.00002315","0.00002222","1.97M","2.78%"
"Mar 08, 2019","0.00002228","0.00002196","0.00002295","0.00002193","4.28M","1.46%"
"Mar 07, 2019","0.00002196","0.00002193","0.00002207","0.00002165","1.60M","0.18%"
"Mar 06, 2019","0.00002192","0.00002220","0.00002225","0.00002175","2.97M","-1.26%"
"Mar 05, 2019","0.00002220","0.00002204","0.00002238","0.00002178","1.91M","0.73%"
"Mar 04, 2019","0.00002204","0.00002299","0.00002300","0.00002173","3.82M","-4.17%"
"Mar 03, 2019","0.00002300","0.00002189","0.00002358","0.00002149","7.83M","5.07%"
"Mar 02, 2019","0.00002189","0.00002220","0.00002239","0.00002171","2.19M","-1.40%"
"Mar 01, 2019","0.00002220","0.00002210","0.00002240","0.00002181","1.87M","0.45%"
"Feb 28, 2019","0.00002210","0.00002199","0.00002220","0.00002166","1.38M","0.50%"
"Feb 27, 2019","0.00002199","0.00002225","0.00002240","0.00002164","2.39M","-1.17%"
"Feb 26, 2019","0.00002225","0.00002246","0.00002260","0.00002192","2.03M","-0.93%"
"Feb 25, 2019","0.00002246","0.00002191","0.00002290","0.00002177","4.24M","2.46%"
"Feb 24, 2019","0.00002192","0.00002276","0.00002340","0.00002161","6.23M","-3.69%"
"Feb 23, 2019","0.00002276","0.00002288","0.00002317","0.00002258","1.88M","-0.52%"
"Feb 22, 2019","0.00002288","0.00002254","0.00002309","0.00002245","2.29M","1.51%"
"Feb 21, 2019","0.00002254","0.00002337","0.00002373","0.00002227","3.85M","-3.55%"
"Feb 20, 2019","0.00002337","0.00002302","0.00002340","0.00002206","4.87M","1.52%"
"Feb 19, 2019","0.00002302","0.00002146","0.00002367","0.00002132","11.19M","7.27%"
"Feb 18, 2019","0.00002146","0.00002177","0.00002187","0.00002114","2.98M","-1.42%"
"Feb 17, 2019","0.00002177","0.00002159","0.00002209","0.00002131","2.24M","0.83%"
"Feb 16, 2019","0.00002159","0.00002199","0.00002202","0.00002127","2.23M","-1.77%"
"Feb 15, 2019","0.00002198","0.00002120","0.00002246","0.00002104","7.08M","3.68%"
"Feb 14, 2019","0.00002120","0.00002112","0.00002120","0.00002080","2.02M","0.38%"
"Feb 13, 2019","0.00002112","0.00002127","0.00002150","0.00002090","3.40M","-0.71%"
"Feb 12, 2019","0.00002127","0.00002121","0.00002152","0.00002078","4.35M","0.28%"
"Feb 11, 2019","0.00002121","0.00002172","0.00002191","0.00002115","3.67M","-2.35%"
"Feb 10, 2019","0.00002172","0.00002206","0.00002235","0.00002083","4.65M","-1.54%"
"Feb 09, 2019","0.00002206","0.00002224","0.00002240","0.00002179","5.24M","-0.81%"
"Feb 08, 2019","0.00002224","0.00002183","0.00002315","0.00002157","7.20M","1.88%"
"Feb 07, 2019","0.00002183","0.00002179","0.00002255","0.00002142","4.43M","0.18%"
"Feb 06, 2019","0.00002179","0.00002222","0.00002226","0.00002116","7.69M","-1.89%"
"Feb 05, 2019","0.00002221","0.00002276","0.00002279","0.00002200","7.29M","-2.46%"
"Feb 04, 2019","0.00002277","0.00002316","0.00002327","0.00002272","2.59M","-1.68%"
"Feb 03, 2019","0.00002316","0.00002370","0.00002385","0.00002272","2.99M","-2.28%"
"Feb 02, 2019","0.00002370","0.00002334","0.00002384","0.00002314","2.46M","1.54%"
"Feb 01, 2019","0.00002334","0.00002367","0.00002416","0.00002300","7.66M","-1.39%"
"Jan 31, 2019","0.00002367","0.00002464","0.00002525","0.00002360","6.35M","-3.94%"
"Jan 30, 2019","0.00002464","0.00002411","0.00002540","0.00002383","6.68M","2.16%"
"Jan 29, 2019","0.00002412","0.00002499","0.00002515","0.00002354","7.46M","-3.40%"
"Jan 28, 2019","0.00002497","0.00002652","0.00002665","0.00002454","10.71M","-5.84%"
"Jan 27, 2019","0.00002652","0.00002752","0.00002752","0.00002604","4.14M","-3.63%"
"Jan 26, 2019","0.00002752","0.00002790","0.00002887","0.00002691","4.34M","-1.36%"
"Jan 25, 2019","0.00002790","0.00002830","0.00002830","0.00002769","2.87M","-1.41%"
"Jan 24, 2019","0.00002830","0.00002828","0.00002839","0.00002803","2.17M","0.07%"
"Jan 23, 2019","0.00002828","0.00002860","0.00002876","0.00002810","1.22M","-1.12%"
"Jan 22, 2019","0.00002860","0.00002875","0.00002891","0.00002843","1.64M","-0.66%"
"Jan 21, 2019","0.00002879","0.00002913","0.00002914","0.00002862","886.87K","-1.17%"
"Jan 20, 2019","0.00002913","0.00002900","0.00002924","0.00002880","1.06M","0.52%"
"Jan 19, 2019","0.00002898","0.00002934","0.00002955","0.00002863","1.73M","-1.23%"
"Jan 18, 2019","0.00002934","0.00002961","0.00002970","0.00002920","898.80K","-0.91%"
