"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2019","0.013309","0.013262","0.013500","0.013250","3.39K","0.36%"
"Mar 15, 2019","0.013262","0.013125","0.013304","0.013044","4.40K","1.04%"
"Mar 14, 2019","0.013125","0.013022","0.013450","0.012955","6.52K","0.79%"
"Mar 13, 2019","0.013022","0.012900","0.013100","0.012891","3.49K","1.00%"
"Mar 12, 2019","0.012893","0.012713","0.012900","0.012580","8.81K","1.42%"
"Mar 11, 2019","0.012713","0.012670","0.012750","0.012510","3.75K","0.34%"
"Mar 10, 2019","0.012670","0.012627","0.012694","0.012566","3.48K","0.34%"
"Mar 09, 2019","0.012627","0.012619","0.012817","0.012573","4.95K","0.06%"
"Mar 08, 2019","0.012619","0.012867","0.012930","0.012554","17.56K","-1.92%"
"Mar 07, 2019","0.012867","0.012830","0.013045","0.012747","8.66K","0.29%"
"Mar 06, 2019","0.012830","0.012701","0.012879","0.012598","8.29K","1.01%"
"Mar 05, 2019","0.012701","0.012645","0.012794","0.012514","10.10K","0.45%"
"Mar 04, 2019","0.012645","0.012821","0.012837","0.012440","7.26K","-1.37%"
"Mar 03, 2019","0.012821","0.012704","0.012821","0.012611","6.73K","1.20%"
"Mar 02, 2019","0.012668","0.012614","0.012700","0.012510","3.65K","0.43%"
"Mar 01, 2019","0.012614","0.012489","0.012645","0.012440","5.58K","1.00%"
"Feb 28, 2019","0.012489","0.012742","0.012759","0.012489","9.27K","-1.99%"
"Feb 27, 2019","0.012742","0.012576","0.012787","0.012459","10.16K","1.32%"
"Feb 26, 2019","0.012576","0.012648","0.012743","0.012494","9.51K","-0.56%"
"Feb 25, 2019","0.012648","0.012644","0.012750","0.012500","14.80K","0.03%"
"Feb 24, 2019","0.012644","0.013020","0.013319","0.012600","15.96K","-2.89%"
"Feb 23, 2019","0.013020","0.012824","0.013097","0.012810","8.55K","1.53%"
"Feb 22, 2019","0.012824","0.012550","0.012986","0.012550","9.06K","2.18%"
"Feb 21, 2019","0.012550","0.012930","0.012987","0.012511","14.66K","-2.94%"
"Feb 20, 2019","0.012930","0.013152","0.013188","0.012755","9.34K","-1.69%"
"Feb 19, 2019","0.013152","0.013080","0.013405","0.013037","9.77K","0.55%"
"Feb 18, 2019","0.013080","0.012951","0.013256","0.012890","12.16K","1.00%"
"Feb 17, 2019","0.012951","0.012790","0.013040","0.012703","17.87K","1.26%"
"Feb 16, 2019","0.012790","0.012965","0.013265","0.012726","22.39K","-1.35%"
"Feb 15, 2019","0.012965","0.012846","0.013333","0.012735","23.81K","0.93%"
"Feb 14, 2019","0.012846","0.013500","0.013619","0.012500","55.04K","-4.84%"
"Feb 13, 2019","0.013500","0.013400","0.013930","0.013310","21.02K","0.75%"
"Feb 12, 2019","0.013400","0.013173","0.013494","0.013050","8.70K","1.72%"
"Feb 11, 2019","0.013173","0.013485","0.013520","0.012903","9.72K","-2.31%"
"Feb 10, 2019","0.013485","0.013180","0.013540","0.012878","10.80K","2.32%"
"Feb 09, 2019","0.013180","0.013116","0.013278","0.013007","7.26K","0.49%"
"Feb 08, 2019","0.013116","0.012670","0.013424","0.012670","18.14K","3.52%"
"Feb 07, 2019","0.012670","0.012650","0.012844","0.012620","9.80K","0.16%"
"Feb 06, 2019","0.012650","0.012452","0.012650","0.012387","10.30K","1.59%"
"Feb 05, 2019","0.012452","0.012330","0.012532","0.012310","8.23K","0.99%"
"Feb 04, 2019","0.012330","0.012355","0.012411","0.012161","11.60K","-0.20%"
"Feb 03, 2019","0.012355","0.012291","0.012608","0.012225","28.94K","0.52%"
