"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2019","0.0000795","0.0000802","0.0000811","0.0000789","3.89M","-0.86%"
"Mar 15, 2019","0.0000802","0.0000802","0.0000807","0.0000800","1.90M","0.00%"
"Mar 14, 2019","0.0000802","0.0000811","0.0000816","0.0000800","1.90M","-1.06%"
"Mar 13, 2019","0.0000811","0.0000800","0.0000837","0.0000799","3.70M","1.41%"
"Mar 12, 2019","0.0000800","0.0000800","0.0000805","0.0000797","2.91M","-0.07%"
"Mar 11, 2019","0.0000800","0.0000800","0.0000807","0.0000795","1.84M","0.09%"
"Mar 10, 2019","0.0000800","0.0000796","0.0000810","0.0000794","1.44M","0.46%"
"Mar 09, 2019","0.0000796","0.0000797","0.0000816","0.0000793","1.48M","-0.15%"
"Mar 08, 2019","0.0000797","0.0000807","0.0000808","0.0000795","1.61M","-1.29%"
"Mar 07, 2019","0.0000807","0.0000818","0.0000820","0.0000806","1.63M","-1.34%"
"Mar 06, 2019","0.0000818","0.0000816","0.0000830","0.0000805","3.17M","0.33%"
"Mar 05, 2019","0.0000816","0.0000813","0.0000824","0.0000811","1.06M","0.34%"
"Mar 04, 2019","0.0000813","0.0000817","0.0000819","0.0000806","1.72M","-0.43%"
"Mar 03, 2019","0.0000817","0.0000821","0.0000823","0.0000812","1.10M","-0.50%"
"Mar 02, 2019","0.0000821","0.0000826","0.0000830","0.0000816","982.47K","-0.63%"
"Mar 01, 2019","0.0000826","0.0000822","0.0000841","0.0000816","2.46M","0.44%"
"Feb 28, 2019","0.0000822","0.0000813","0.0000828","0.0000807","2.04M","1.12%"
"Feb 27, 2019","0.0000813","0.0000831","0.0000832","0.0000810","2.62M","-2.17%"
"Feb 26, 2019","0.0000831","0.0000855","0.0000872","0.0000827","5.26M","-2.77%"
"Feb 25, 2019","0.0000855","0.0000795","0.0000876","0.0000789","9.12M","7.55%"
"Feb 24, 2019","0.0000795","0.0000806","0.0000828","0.0000788","5.01M","-1.44%"
"Feb 23, 2019","0.0000806","0.0000810","0.0000814","0.0000794","1.61M","-0.42%"
"Feb 22, 2019","0.0000810","0.0000814","0.0000815","0.0000802","1.72M","-0.49%"
"Feb 21, 2019","0.0000814","0.0000834","0.0000836","0.0000802","2.41M","-2.45%"
"Feb 20, 2019","0.0000834","0.0000827","0.0000842","0.0000818","3.05M","0.85%"
"Feb 19, 2019","0.0000827","0.0000824","0.0000885","0.0000824","6.29M","0.34%"
"Feb 18, 2019","0.0000824","0.0000827","0.0000844","0.0000820","3.90M","-0.30%"
"Feb 17, 2019","0.0000827","0.0000831","0.0000834","0.0000824","881.40K","-0.54%"
"Feb 16, 2019","0.0000831","0.0000837","0.0000838","0.0000830","431.65K","-0.65%"
"Feb 15, 2019","0.0000837","0.0000838","0.0000841","0.0000831","1.20M","-0.10%"
"Feb 14, 2019","0.0000838","0.0000842","0.0000846","0.0000836","913.71K","-0.49%"
"Feb 13, 2019","0.0000842","0.0000840","0.0000860","0.0000834","2.10M","0.24%"
"Feb 12, 2019","0.0000840","0.0000833","0.0000846","0.0000827","4.53M","0.80%"
"Feb 11, 2019","0.0000833","0.0000840","0.0000844","0.0000831","1.25M","-0.87%"
"Feb 10, 2019","0.0000840","0.0000853","0.0000853","0.0000824","2.43M","-1.43%"
"Feb 09, 2019","0.0000853","0.0000853","0.0000859","0.0000846","2.57M","-0.11%"
"Feb 08, 2019","0.0000853","0.0000858","0.0000880","0.0000846","4.86M","-0.50%"
"Feb 07, 2019","0.0000858","0.0000850","0.0000864","0.0000850","2.24M","0.95%"
"Feb 06, 2019","0.0000850","0.0000864","0.0000865","0.0000848","1.87M","-1.72%"
"Feb 05, 2019","0.0000865","0.0000863","0.0000871","0.0000852","1.54M","0.12%"
"Feb 04, 2019","0.0000864","0.0000873","0.0000879","0.0000861","1.75M","-1.08%"
"Feb 03, 2019","0.0000873","0.0000886","0.0000892","0.0000866","1.21M","-1.46%"
"Feb 02, 2019","0.0000886","0.0000884","0.0000892","0.0000876","935.15K","0.18%"
"Feb 01, 2019","0.0000884","0.0000900","0.0000904","0.0000868","3.70M","-1.71%"
"Jan 31, 2019","0.0000900","0.0000928","0.0000962","0.0000888","9.03M","-3.07%"
"Jan 30, 2019","0.0000928","0.0000841","0.0000937","0.0000838","7.58M","10.36%"
"Jan 29, 2019","0.0000841","0.0000850","0.0000855","0.0000836","1.66M","-1.11%"
"Jan 28, 2019","0.0000850","0.0000864","0.0000868","0.0000829","4.89M","-1.60%"
